image,probability,predicted,true_label,correct
112355144896.png,0.34494251012802124,1,1,True
120759097790.png,0.40861958265304565,1,1,True
123175004236.png,0.2956281006336212,0,1,False
124267776324.png,0.4156588912010193,1,1,True
130604837055.png,0.31687116622924805,1,1,True
142453839951.png,0.44109341502189636,1,1,True
146929315517.png,0.4309016168117523,1,1,True
149028783545.png,0.2890314757823944,0,1,False
151155082681.png,0.2764887511730194,0,1,False
151537534131.png,0.37370923161506653,1,1,True
155989473975.png,0.35689952969551086,1,1,True
156213568187.png,0.5026741623878479,1,1,True
166382472116.png,0.3542235493659973,1,1,True
166509453496.png,0.3993004262447357,1,1,True
169090696779.png,0.45282039046287537,1,1,True
174514983495.png,0.3952367305755615,1,1,True
175390031804.png,0.3507026731967926,1,1,True
179357137988.png,0.3992663323879242,1,1,True
182189805135.png,0.3782232701778412,1,1,True
192467887039.png,0.4329984188079834,1,1,True
193557805901.png,0.43924233317375183,1,1,True
196090507456.png,0.2273404449224472,0,1,False
205703262287.png,0.36315295100212097,1,1,True
205840398400.png,0.3460438549518585,1,1,True
206595871045.png,0.286095529794693,0,1,False
208547652800.png,0.35462629795074463,1,1,True
214450043723.png,0.34887415170669556,1,1,True
214721435721.png,0.3517417311668396,1,1,True
239896750261.png,0.4183439612388611,1,1,True
244058564934.png,0.4475766122341156,1,1,True
245037313719.png,0.3964550495147705,1,1,True
245406637890.png,0.39032772183418274,1,1,True
247840782403.png,0.3352753818035126,1,1,True
248232501327.png,0.3656695783138275,1,1,True
249775323326.png,0.31007781624794006,1,1,True
249915343296.png,0.4028365910053253,1,1,True
260964366783.png,0.4630683958530426,1,1,True
261951236288.png,0.5116183757781982,1,1,True
263748814009.png,0.3643856346607208,1,1,True
275253725508.png,0.3667543828487396,1,1,True
278279754428.png,0.4208478629589081,1,1,True
280133655998.png,0.3293406665325165,1,1,True
283316009148.png,0.5188322067260742,1,1,True
283969448638.png,0.4701937437057495,1,1,True
286294163640.png,0.3467468023300171,1,1,True
294755582031.png,0.39220669865608215,1,1,True
295071802298.png,0.39925676584243774,1,1,True
296743604801.png,0.3015027344226837,1,1,True
306180504901.png,0.35551565885543823,1,1,True
309293207481.png,0.41448670625686646,1,1,True
318393141950.png,0.409003347158432,1,1,True
319198180686.png,0.3571016192436218,1,1,True
