image,probability,predicted,true_label,correct
101082076340.png,0.612738311290741,1,1,True
101417395279.png,0.588274359703064,1,0,False
102893416258.png,0.5710741281509399,1,0,False
103621423795.png,0.5760038495063782,1,1,True
105786274746.png,0.5724805593490601,1,1,True
106531346109.png,0.6541481018066406,1,0,False
113787317179.png,0.5936597585678101,1,0,False
114079399752.png,0.5924387574195862,1,1,True
118983560625.png,0.5654051899909973,1,1,True
119447965120.png,0.5332666039466858,1,0,False
120397349956.png,0.6708943247795105,1,1,True
120804631108.png,0.6038830876350403,1,0,False
142041456310.png,0.6018452644348145,1,1,True
142836539826.png,0.6287897825241089,1,0,False
143815546190.png,0.5395532846450806,1,0,False
144724937404.png,0.5841521620750427,1,1,True
163226655670.png,0.5954206585884094,1,0,False
166088960583.png,0.633870005607605,1,0,False
167893551801.png,0.651846170425415,1,0,False
172587457869.png,0.6213173866271973,1,0,False
178037104203.png,0.566580593585968,1,0,False
178903546689.png,0.6531938314437866,1,0,False
180921679689.png,0.6328551769256592,1,0,False
182903689144.png,0.551747739315033,1,0,False
197261906759.png,0.6120224595069885,1,0,False
199882740928.png,0.6979306936264038,1,0,False
202982049212.png,0.62444007396698,1,0,False
211243928143.png,0.7141567468643188,1,0,False
215026030671.png,0.5223261713981628,1,0,False
215557382217.png,0.4934820234775543,0,1,False
221363404621.png,0.5862533450126648,1,0,False
223664320070.png,0.5242778658866882,1,0,False
228025973575.png,0.6774802207946777,1,0,False
232638946742.png,0.6941130757331848,1,0,False
235372382398.png,0.4843522012233734,0,1,False
235396922814.png,0.6449058651924133,1,0,False
235645375414.png,0.626173734664917,1,0,False
240888036792.png,0.6722070574760437,1,0,False
247366902965.png,0.5753847360610962,1,1,True
251479730617.png,0.5785351395606995,1,0,False
252891592891.png,0.5693036317825317,1,0,False
253653870262.png,0.6816772222518921,1,0,False
259363392331.png,0.5678587555885315,1,1,True
264945833804.png,0.60955411195755,1,0,False
265045351752.png,0.5516891479492188,1,0,False
265680282555.png,0.5954124927520752,1,0,False
266468327859.png,0.5590137243270874,1,0,False
267128816061.png,0.5192345380783081,1,1,True
276823697339.png,0.5889222621917725,1,0,False
280705077948.png,0.5842669010162354,1,0,False
289575705783.png,0.6313371062278748,1,0,False
289672022859.png,0.5375193357467651,1,0,False
296569259963.png,0.5466552376747131,1,0,False
308978034359.png,0.5095692276954651,1,0,False
314230865735.png,0.641508162021637,1,0,False
316842205516.png,0.6663845777511597,1,1,True
327432181430.png,0.548781156539917,1,0,False
331918778302.png,0.6876292824745178,1,0,False
341487519931.png,0.6113894581794739,1,0,False
346459418046.png,0.5779143571853638,1,0,False
349088410559.png,0.5889807939529419,1,0,False
357770993597.png,0.6338236331939697,1,0,False
358682804920.png,0.6322590112686157,1,0,False
373534903368.png,0.6430661082267761,1,0,False
373664986695.png,0.45708605647087097,0,0,True
398868902217.png,0.5978992581367493,1,0,False
422949066061.png,0.6150963306427002,1,0,False
428831238581.png,0.5583778619766235,1,1,True
435589989703.png,0.5660886764526367,1,1,True
437383639117.png,0.6452175974845886,1,0,False
443045783985.png,0.6240513324737549,1,0,False
447338559157.png,0.6174716353416443,1,0,False
451762379192.png,0.5320866107940674,1,1,True
460950866510.png,0.6763796806335449,1,0,False
462946971323.png,0.6465200781822205,1,0,False
464548679869.png,0.5910629630088806,1,1,True
466021835338.png,0.6677134037017822,1,1,True
466566682043.png,0.5331064462661743,1,0,False
467460732083.png,0.6456981301307678,1,0,False
472468127053.png,0.6586499214172363,1,1,True
477299306677.png,0.5837025046348572,1,1,True
480227736387.png,0.6202996969223022,1,0,False
480837496767.png,0.6624225378036499,1,1,True
482733349698.png,0.6169244647026062,1,0,False
486760335284.png,0.56734299659729,1,0,False
488619217592.png,0.5405888557434082,1,0,False
491105155005.png,0.4800066649913788,0,0,True
491847717562.png,0.6516379117965698,1,0,False
496142704973.png,0.5689612627029419,1,0,False
510805316419.png,0.6099216938018799,1,0,False
513930517687.png,0.4667164385318756,0,0,True
516616017341.png,0.5558212399482727,1,0,False
523050548921.png,0.6064866781234741,1,1,True
524138358857.png,0.6065073609352112,1,0,False
527172737352.png,0.5375381708145142,1,0,False
529867870791.png,0.590577244758606,1,1,True
536009871026.png,0.5854212641716003,1,0,False
547114798663.png,0.6667006611824036,1,0,False
551048738749.png,0.6632572412490845,1,0,False
555630700359.png,0.5585964322090149,1,0,False
