row_index,lot,group,tray,txid,xray_issues,expected_image,status,message
0,260401468,1,2,112355144896,Functional,112355144896.png,VALID,Image found at lot1_images\112355144896.png
1,260401468,1,1,120759097790,Functional,120759097790.png,VALID,Image found at lot1_images\120759097790.png
2,260401468,1,4,123175004236,Functional,123175004236.png,VALID,Image found at lot1_images\123175004236.png
3,260401468,1,1,124267776324,pBT,124267776324.png,VALID,Image found at lot1_images\124267776324.png
4,260401468,1,1,130604837055,Functional,130604837055.png,VALID,Image found at lot1_images\130604837055.png
5,260401468,1,3,142453839951,Functional,142453839951.png,VALID,Image found at lot1_images\142453839951.png
6,260401468,1,4,146929315517,Functional,146929315517.png,VALID,Image found at lot1_images\146929315517.png
7,260401468,1,5,149028783545,Functional,149028783545.png,VALID,Image found at lot1_images\149028783545.png
8,260401468,1,4,151155082681,Functional,151155082681.png,VALID,Image found at lot1_images\151155082681.png
9,260401468,1,3,151537534131,pBT,151537534131.png,VALID,Image found at lot1_images\151537534131.png
10,260401468,1,5,155989473975,Functional,155989473975.png,VALID,Image found at lot1_images\155989473975.png
11,260401468,1,3,156213568187,pBT,156213568187.png,VALID,Image found at lot1_images\156213568187.png
12,260401468,1,3,166382472116,Functional,166382472116.png,VALID,Image found at lot1_images\166382472116.png
13,260401468,1,2,166509453496,Functional,166509453496.png,VALID,Image found at lot1_images\166509453496.png
14,260401468,1,1,169090696779,pBT,169090696779.png,VALID,Image found at lot1_images\169090696779.png
15,260401468,1,4,174514983495,pBT,174514983495.png,VALID,Image found at lot1_images\174514983495.png
16,260401468,1,1,175390031804,Functional,175390031804.png,VALID,Image found at lot1_images\175390031804.png
17,260401468,1,3,179357137988,Functional,179357137988.png,VALID,Image found at lot1_images\179357137988.png
18,260401468,1,1,182189805135,Functional,182189805135.png,VALID,Image found at lot1_images\182189805135.png
19,260401468,1,1,192467887039,BT,192467887039.png,VALID,Image found at lot1_images\192467887039.png
20,260401468,1,3,193557805901,Functional,193557805901.png,VALID,Image found at lot1_images\193557805901.png
21,260401468,1,2,196090507456,Functional,196090507456.png,VALID,Image found at lot1_images\196090507456.png
22,260401468,1,1,205703262287,Functional,205703262287.png,VALID,Image found at lot1_images\205703262287.png
23,260401468,1,1,205840398400,Functional,205840398400.png,VALID,Image found at lot1_images\205840398400.png
24,260401468,1,5,206595871045,Functional,206595871045.png,VALID,Image found at lot1_images\206595871045.png
25,260401468,1,5,208547652800,Functional,208547652800.png,VALID,Image found at lot1_images\208547652800.png
26,260401468,1,4,214450043723,Functional,214450043723.png,VALID,Image found at lot1_images\214450043723.png
27,260401468,1,1,214721435721,Functional,214721435721.png,VALID,Image found at lot1_images\214721435721.png
28,260401468,1,4,239896750261,pBT,239896750261.png,VALID,Image found at lot1_images\239896750261.png
29,260401468,1,3,244058564934,Functional,244058564934.png,VALID,Image found at lot1_images\244058564934.png
30,260401468,1,2,245037313719,pBT,245037313719.png,VALID,Image found at lot1_images\245037313719.png
31,260401468,1,4,245406637890,Functional,245406637890.png,VALID,Image found at lot1_images\245406637890.png
32,260401468,1,4,247840782403,Functional,247840782403.png,VALID,Image found at lot1_images\247840782403.png
33,260401468,1,5,248232501327,Functional,248232501327.png,VALID,Image found at lot1_images\248232501327.png
34,260401468,1,5,249775323326,Functional,249775323326.png,VALID,Image found at lot1_images\249775323326.png
35,260401468,1,4,249915343296,Functional,249915343296.png,VALID,Image found at lot1_images\249915343296.png
36,260401468,1,2,260964366783,pBT,260964366783.png,VALID,Image found at lot1_images\260964366783.png
37,260401468,1,3,261951236288,pBT,261951236288.png,VALID,Image found at lot1_images\261951236288.png
38,260401468,1,1,263748814009,Functional,263748814009.png,VALID,Image found at lot1_images\263748814009.png
39,260401468,1,1,275253725508,Functional,275253725508.png,VALID,Image found at lot1_images\275253725508.png
40,260401468,1,4,278279754428,Functional,278279754428.png,VALID,Image found at lot1_images\278279754428.png
41,260401468,1,3,280133655998,Functional,280133655998.png,VALID,Image found at lot1_images\280133655998.png
42,260401468,1,2,283316009148,pBT,283316009148.png,VALID,Image found at lot1_images\283316009148.png
43,260401468,1,4,283969448638,Functional,283969448638.png,VALID,Image found at lot1_images\283969448638.png
44,260401468,1,2,286294163640,Functional,286294163640.png,VALID,Image found at lot1_images\286294163640.png
45,260401468,1,5,294755582031,Functional,294755582031.png,VALID,Image found at lot1_images\294755582031.png
46,260401468,1,5,295071802298,Functional,295071802298.png,VALID,Image found at lot1_images\295071802298.png
47,260401468,1,2,296743604801,Functional,296743604801.png,VALID,Image found at lot1_images\296743604801.png
48,260401468,1,4,306180504901,Functional,306180504901.png,VALID,Image found at lot1_images\306180504901.png
49,260401468,1,5,309293207481,Functional,309293207481.png,VALID,Image found at lot1_images\309293207481.png
50,260401468,1,3,318393141950,Functional,318393141950.png,VALID,Image found at lot1_images\318393141950.png
51,260401468,1,5,319198180686,Functional,319198180686.png,VALID,Image found at lot1_images\319198180686.png
52,260401468,1,5,319284091322,Functional,319284091322.png,VALID,Image found at lot1_images\319284091322.png
53,260401468,1,1,319861391180,BT,319861391180.png,VALID,Image found at lot1_images\319861391180.png
54,260401468,1,3,323049824837,Functional,323049824837.png,VALID,Image found at lot1_images\323049824837.png
55,260401468,1,3,323216066376,pBT,323216066376.png,VALID,Image found at lot1_images\323216066376.png
56,260401468,1,4,331994804662,Functional,331994804662.png,VALID,Image found at lot1_images\331994804662.png
57,260401468,1,4,332262029390,Functional,332262029390.png,VALID,Image found at lot1_images\332262029390.png
58,260401468,1,5,354494414668,Functional,354494414668.png,VALID,Image found at lot1_images\354494414668.png
59,260401468,1,3,357743806796,Functional,357743806796.png,VALID,Image found at lot1_images\357743806796.png
60,260401468,1,5,367033184947,Functional,367033184947.png,VALID,Image found at lot1_images\367033184947.png
61,260401468,1,2,368112377014,Functional,368112377014.png,VALID,Image found at lot1_images\368112377014.png
62,260401468,1,5,377396256589,Functional,377396256589.png,VALID,Image found at lot1_images\377396256589.png
63,260401468,1,4,382388955983,pBT,382388955983.png,VALID,Image found at lot1_images\382388955983.png
64,260401468,1,5,382842542770,Functional,382842542770.png,VALID,Image found at lot1_images\382842542770.png
65,260401468,1,3,385364175281,Functional,385364175281.png,VALID,Image found at lot1_images\385364175281.png
66,260401468,1,4,386594653886,Functional,386594653886.png,VALID,Image found at lot1_images\386594653886.png
67,260401468,1,4,388457243971,Functional,388457243971.png,VALID,Image found at lot1_images\388457243971.png
68,260401468,1,1,389333895104,pBT,389333895104.png,VALID,Image found at lot1_images\389333895104.png
69,260401468,1,1,389762947264,Functional,389762947264.png,VALID,Image found at lot1_images\389762947264.png
70,260401468,1,3,390659573835,Functional,390659573835.png,VALID,Image found at lot1_images\390659573835.png
71,260401468,1,5,391986630578,Functional,391986630578.png,VALID,Image found at lot1_images\391986630578.png
72,260401468,1,3,396096447168,pBT,396096447168.png,VALID,Image found at lot1_images\396096447168.png
73,260401468,1,2,401302850236,pBT,401302850236.png,VALID,Image found at lot1_images\401302850236.png
74,260401468,1,3,402709362358,pBT,402709362358.png,VALID,Image found at lot1_images\402709362358.png
75,260401468,1,1,405112526006,Functional/No,405112526006.png,VALID,Image found at lot1_images\405112526006.png
76,260401468,1,5,426616352327,Functional,426616352327.png,VALID,Image found at lot1_images\426616352327.png
77,260401468,1,5,440954259636,Functional,440954259636.png,VALID,Image found at lot1_images\440954259636.png
78,260401468,1,4,444257074368,Functional,444257074368.png,VALID,Image found at lot1_images\444257074368.png
79,260401468,1,2,446825971022,Functional,446825971022.png,VALID,Image found at lot1_images\446825971022.png
80,260401468,1,2,449079050821,Functional,449079050821.png,VALID,Image found at lot1_images\449079050821.png
81,260401468,1,5,449548601935,pBT,449548601935.png,VALID,Image found at lot1_images\449548601935.png
82,260401468,1,1,459842032575,Functional,459842032575.png,VALID,Image found at lot1_images\459842032575.png
83,260401468,1,1,461796723131,Functional,461796723131.png,VALID,Image found at lot1_images\461796723131.png
84,260401468,1,1,467170281550,Functional,467170281550.png,VALID,Image found at lot1_images\467170281550.png
85,260401468,1,5,471644500148,Functional,471644500148.png,VALID,Image found at lot1_images\471644500148.png
86,260401468,1,3,484148077390,Functional,484148077390.png,VALID,Image found at lot1_images\484148077390.png
87,260401468,1,4,485645061448,Functional,485645061448.png,VALID,Image found at lot1_images\485645061448.png
88,260401468,1,2,499184697528,Functional,499184697528.png,VALID,Image found at lot1_images\499184697528.png
89,260401468,1,2,504727923636,pBT,504727923636.png,VALID,Image found at lot1_images\504727923636.png
90,260401468,1,2,507660042820,Functional,507660042820.png,VALID,Image found at lot1_images\507660042820.png
91,260401468,1,1,513176860851,Functional,513176860851.png,VALID,Image found at lot1_images\513176860851.png
92,260401468,1,4,516484846771,Functional,516484846771.png,VALID,Image found at lot1_images\516484846771.png
93,260401468,1,5,519479014210,Functional,519479014210.png,VALID,Image found at lot1_images\519479014210.png
94,260401468,1,1,522346050627,pBT,522346050627.png,VALID,Image found at lot1_images\522346050627.png
95,260401468,1,5,522908640837,Functional,522908640837.png,VALID,Image found at lot1_images\522908640837.png
96,260401468,1,3,525197973685,Functional,525197973685.png,VALID,Image found at lot1_images\525197973685.png
97,260401468,1,5,547572953783,Functional,547572953783.png,VALID,Image found at lot1_images\547572953783.png
98,260401468,1,1,556833766071,pBT,556833766071.png,VALID,Image found at lot1_images\556833766071.png
99,260401468,1,5,560995798351,Functional,560995798351.png,VALID,Image found at lot1_images\560995798351.png
100,260401468,1,1,571767951545,Functional,571767951545.png,VALID,Image found at lot1_images\571767951545.png
101,260401468,1,2,580659249483,pBT,580659249483.png,VALID,Image found at lot1_images\580659249483.png
102,260401468,1,2,582449285561,pBT,582449285561.png,VALID,Image found at lot1_images\582449285561.png
103,260401468,1,4,584560114110,Functional,584560114110.png,VALID,Image found at lot1_images\584560114110.png
104,260401468,1,1,586526530994,Functional,586526530994.png,VALID,Image found at lot1_images\586526530994.png
105,260401468,1,1,586686362188,Functional,586686362188.png,VALID,Image found at lot1_images\586686362188.png
106,260401468,1,4,593048358219,Functional,593048358219.png,VALID,Image found at lot1_images\593048358219.png
107,260401468,1,5,597573327805,Functional,597573327805.png,VALID,Image found at lot1_images\597573327805.png
108,260401468,1,2,602136307896,Functional,602136307896.png,VALID,Image found at lot1_images\602136307896.png
109,260401468,1,2,606958517568,pBT,606958517568.png,VALID,Image found at lot1_images\606958517568.png
110,260401468,1,4,613760275528,Functional,613760275528.png,VALID,Image found at lot1_images\613760275528.png
111,260401468,1,2,614753560502,pBT,614753560502.png,VALID,Image found at lot1_images\614753560502.png
112,260401468,1,2,615252281023,Functional,615252281023.png,VALID,Image found at lot1_images\615252281023.png
113,260401468,1,2,615552493642,pBT,615552493642.png,VALID,Image found at lot1_images\615552493642.png
114,260401468,1,2,619348176309,pBT,619348176309.png,VALID,Image found at lot1_images\619348176309.png
115,260401468,1,3,619580543422,pBT,619580543422.png,VALID,Image found at lot1_images\619580543422.png
116,260401468,1,2,620015008072,Functional,620015008072.png,VALID,Image found at lot1_images\620015008072.png
117,260401468,1,4,630576825928,Functional,630576825928.png,VALID,Image found at lot1_images\630576825928.png
118,260401468,1,1,635882288057,pBT,635882288057.png,VALID,Image found at lot1_images\635882288057.png
119,260401468,1,1,639141782081,pBT,639141782081.png,VALID,Image found at lot1_images\639141782081.png
120,260401468,1,2,642073159236,Functional,642073159236.png,VALID,Image found at lot1_images\642073159236.png
121,260401468,1,2,642677760185,pBT,642677760185.png,VALID,Image found at lot1_images\642677760185.png
122,260401468,1,5,647486364860,Functional,647486364860.png,VALID,Image found at lot1_images\647486364860.png
123,260401468,1,3,652038062149,Functional,652038062149.png,VALID,Image found at lot1_images\652038062149.png
124,260401468,1,4,659626483531,Functional,659626483531.png,VALID,Image found at lot1_images\659626483531.png
125,260401468,1,5,661165245001,Functional,661165245001.png,VALID,Image found at lot1_images\661165245001.png
126,260401468,1,3,661650570431,pBT,661650570431.png,VALID,Image found at lot1_images\661650570431.png
127,260401468,1,3,665756876355,pBT,665756876355.png,VALID,Image found at lot1_images\665756876355.png
128,260401468,1,4,669513071035,Functional,669513071035.png,VALID,Image found at lot1_images\669513071035.png
129,260401468,1,1,674580554825,Functional,674580554825.png,VALID,Image found at lot1_images\674580554825.png
