threshold,tp,tn,fp,fn,accuracy,sensitivity,specificity,precision,f1,balanced_accuracy,flagged_count,missed_count
0.1,18,123,51,2,0.7268041237113402,0.9,0.7068965517241379,0.2608695652173913,0.40449438202247195,0.8034482758620689,69,2
0.15,18,148,26,2,0.8556701030927835,0.9,0.8505747126436781,0.4090909090909091,0.5625000000000001,0.8752873563218391,44,2
0.2,18,156,18,2,0.8969072164948454,0.9,0.896551724137931,0.5,0.6428571428571429,0.8982758620689655,36,2
0.25,18,160,14,2,0.9175257731958762,0.9,0.9195402298850575,0.5625,0.6923076923076923,0.9097701149425288,32,2
0.3,18,163,11,2,0.9329896907216495,0.9,0.9367816091954023,0.6206896551724138,0.7346938775510204,0.9183908045977012,29,2
0.35,18,166,8,2,0.9484536082474226,0.9,0.9540229885057471,0.6923076923076923,0.7826086956521738,0.9270114942528735,26,2
0.4,18,168,6,2,0.9587628865979382,0.9,0.9655172413793104,0.75,0.8181818181818182,0.9327586206896552,24,2
0.45,18,169,5,2,0.9639175257731959,0.9,0.9712643678160919,0.782608695652174,0.8372093023255814,0.9356321839080459,23,2
0.5,18,169,5,2,0.9639175257731959,0.9,0.9712643678160919,0.782608695652174,0.8372093023255814,0.9356321839080459,23,2
0.55,17,169,5,3,0.9587628865979382,0.85,0.9712643678160919,0.7727272727272727,0.8095238095238095,0.910632183908046,22,3
0.6,17,171,3,3,0.9690721649484536,0.85,0.9827586206896551,0.85,0.85,0.9163793103448276,20,3
0.65,17,171,3,3,0.9690721649484536,0.85,0.9827586206896551,0.85,0.85,0.9163793103448276,20,3
0.7,17,171,3,3,0.9690721649484536,0.85,0.9827586206896551,0.85,0.85,0.9163793103448276,20,3
0.75,16,171,3,4,0.9639175257731959,0.8,0.9827586206896551,0.8421052631578947,0.8205128205128205,0.8913793103448275,19,4
0.8,16,171,3,4,0.9639175257731959,0.8,0.9827586206896551,0.8421052631578947,0.8205128205128205,0.8913793103448275,19,4
0.85,16,171,3,4,0.9639175257731959,0.8,0.9827586206896551,0.8421052631578947,0.8205128205128205,0.8913793103448275,19,4
0.9,16,173,1,4,0.9742268041237113,0.8,0.9942528735632183,0.9411764705882353,0.8648648648648648,0.8971264367816092,17,4
